id;titulo;url
1;1 - SANTO SANTO SANTO;https://www.youtube.com/watch?v=FDpludwY46U&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=1
2;2 - O ADORAI O SENHOR;https://www.youtube.com/watch?v=u4c66cbU9-c&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=2
3;3 - O DEUS ETERNO REINA;https://www.youtube.com/watch?v=BpMD-UziYbc&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=3
4;4 - LOUVOR AO TRINO DEUS;https://www.youtube.com/watch?v=hfH_dQpEMhk&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=4
5;5 - JUBILOSOS TE ADORAMOS;https://www.youtube.com/watch?v=e6r1kYZJ1hg&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=5
6;6 - NOS TE ADORAMOS;https://www.youtube.com/watch?v=gUX4rONKdeI&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=6
7;7 - SEJAS LOUVADO;https://www.youtube.com/watch?v=jRo9W3iHhLc&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=7
8;8 - O DEUS DE AMOR;https://www.youtube.com/watch?v=W0Ha0nqpVtY&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=8
9;9 - SANTO SANTO PAI BONDOSO;https://www.youtube.com/watch?v=d-Jm5BqIHms&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=9
10;10 - O SENHOR ESTA AQUI;https://www.youtube.com/watch?v=XafjwXQ7OF8&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=10
11;11 - MAIOR QUE TUDO;https://www.youtube.com/watch?v=7UlUMa8dlBg&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=11
12;12 - VINDE POVO DO SENHOR;https://www.youtube.com/watch?v=2WLfNPD0uhw&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=12
13;13 - LOUVAMOS-TE O DEUS;https://www.youtube.com/watch?v=xAzZsKdefi0&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=13
14;14 - LOUVEMOS O REI;https://www.youtube.com/watch?v=KARmqJz3Ktg&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=14
15;15 - TU ES FIEL SENHOR;https://www.youtube.com/watch?v=lVBzxAcXTVk&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=15
16;16 - SUBLIME AMOR;https://www.youtube.com/watch?v=724USSpz4ls&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=16
17;17 - DEUS E NOSSO PAI AMADO;https://www.youtube.com/watch?v=1fkhW76iKSs&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=17
18;18 - DEUS E NOSSO PAI CELESTE;https://www.youtube.com/watch?v=5Zm_BUpeWHI&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=18
19;19 - A DEUS DEMOS GLORIA;https://www.youtube.com/watch?v=MnBH-e_BpZQ&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=19
20;20 - GRANDE E O SENHOR;https://www.youtube.com/watch?v=4C23Lx1lwso&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=20
21;21 - EU TE AMO O DEUS;https://www.youtube.com/watch?v=BjHv6tOnhn0&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=21
22;22 - A TI TODA GLORIA;https://www.youtube.com/watch?v=BwISjJU028U&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=22
23;23 - LOUVAI A CRISTO;https://www.youtube.com/watch?v=0LeRHv_eCgk&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=23
24;24 - REIS DOS REIS;https://www.youtube.com/watch?v=AlTWVhSsndI&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=24
25;25 - JESUS SEMPRE TE AMO;https://www.youtube.com/watch?v=T5jU2aXD0cI&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=25
26;26 - SAUDAI O NOME DE JESUS;https://www.youtube.com/watch?v=qQuZ30_VVbU&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=26
27;27 - COM GLORIA COROAI;https://www.youtube.com/watch?v=xlkwuGo10Os&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=27
28;28 - LINDO ES MEU MESTRE;https://www.youtube.com/watch?v=DRYgNLQNjmU&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=28
29;29 - O AMOR DE JESUS;https://www.youtube.com/watch?v=rDqhjaMUu8I&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=29
30;30 - SEMPRE VENCENDO;https://www.youtube.com/watch?v=SvLmewB4-tc&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=30
31;31 - JESUS TU ES A MINHA VIDA;https://www.youtube.com/watch?v=LL5Pak4zcuA&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=31
32;32 - BRILHA JESUS;https://www.youtube.com/watch?v=pnjg15RB6f8&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=32
33;33 - A ESPERANCA E JESUS;https://www.youtube.com/watch?v=8hKR6ohrexE&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=33
34;34 - PRECIOSO NOME;https://www.youtube.com/watch?v=i_1znegpxLI&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=34
35;35 - ELE E EXALTADO;https://www.youtube.com/watch?v=KAu7WO38klQ&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=35
36;36 - POR SEU IMENSO AMOR;https://www.youtube.com/watch?v=h2zY2yqEhH8&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=36
37;37 - CRISTO;https://www.youtube.com/watch?v=PRVP3fMMOJ8&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=37
38;38 - A TI RENDEMOS GLORIAS;https://www.youtube.com/watch?v=Sju2hLQ6hKU&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=38
39;39 - GLORIAS AO REI DE AMOR;https://www.youtube.com/watch?v=aARgwr11kt4&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=39
40;40 - CONCEDE-NOS O ESPIRITO;https://www.youtube.com/watch?v=AEIOZHynZ10&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=40
41;41 - CHUVAS DE BENCAOS;https://www.youtube.com/watch?v=BaJF1Tg3CJM&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=41
42;42 - VIVE EM MIM;https://www.youtube.com/watch?v=GHr5fUzMD-8&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=42
43;43 - VEM SANTO ESPIRITO AGORA;https://www.youtube.com/watch?v=q7ckGf7nsU4&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=43
44;44 - O SANTO ESPIRITO;https://www.youtube.com/watch?v=niiUqUc9j1s&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=44
45;45 - SUAVE ESPIRITO;https://www.youtube.com/watch?v=zoxr6xrtoa8&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=45
46;46 - DIA DE CHUVA;https://www.youtube.com/watch?v=Vwpc1inHrwA&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=46
47;47 - CHEIOS DO ESPIRITO;https://www.youtube.com/watch?v=5pCbe4IUoSQ&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=47
48;48 - O PODER DO ESPIRITO;https://www.youtube.com/watch?v=dq4XfQZJrbg&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=48
49;49 - QUE FIRME ALICERCE;https://www.youtube.com/watch?v=YiYxrq_0LuI&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=49
50;50 - ALICERCE SEGURO;https://www.youtube.com/watch?v=s8iTxsqiiqM&list=PLAPpcKnpMfeO9Fydpl1tTKC9CRRnIMMSK&index=50
51;51 -  DA-ME A BIBLIA;https://www.youtube.com/embed/k-O7d-lvwtE
52;52 - NOVAS DE AMOR E VIDA;https://www.youtube.com/embed/ZKGM3HzpOZo
53;53 - QUE DIZ A BIBLIA;https://www.youtube.com/embed/hNdx9bWb_0s
54;54 - UNIDOS PELA PALAVRA;https://www.youtube.com/embed/2rH9XgY6SGQ
55;55 - TUA PALAVRA;https://www.youtube.com/embed/L81Mjny13d4
56;56 NOSSA INSPIRACAO;https://www.youtube.com/embed/5-PCVhz6uzg
57;57 -  A PALAVRA DO SENHOR;https://www.youtube.com/embed/86bzYwgHtG4
58;58 -  O PAO DA VIDA;https://www.youtube.com/embed/uNq843-YAvo
59;59 - POR BELEZAS NATURAIS;https://www.youtube.com/embed/ogxYKQWtuCo
60;60 - AO DEUS DE ABRAAO LOUVAI;https://www.youtube.com/embed/2khAUPUJ5VM
61;61 - VOS CRIATURAS DO SENHOR;https://www.youtube.com/embed/EUHb7-depCY
62;62 - QUAO GRANDE ES TU;https://www.youtube.com/embed/gwi_gzBwl98
63;63 - O MUNDO É DE MEU DEUS;https://www.youtube.com/embed/xopoI-il52Y
64;64 -  VASO NOVO;https://www.youtube.com/embed/Dh24lTXOorc
65;65DAS MÃOS DO CRIADOR;https://www.youtube.com/embed/38nr_ig4oYk
66;66 -  NÃO HÁ OUTRO IGUAL A VOCÊ;https://www.youtube.com/embed/1XYJWYHuZdg
67;67 - RESTAURA EM MIM;https://www.youtube.com/embed/IN0WMRcnYq4
68;68 - RESTAURA;https://www.youtube.com/embed/98rSocNlrtw
69;69 - OBRIGADO BOM PAI;https://www.youtube.com/embed/4XkYx2_xuPA
70;70 - A REAL BANDEIRA;https://www.youtube.com/embed/vs4fs-zc66M
71;71 -  VITORIA EM CRISTO;https://www.youtube.com/embed/wQFi-aVjuo0
72;72 - FRIME NAS PROMESSAS;https://www.youtube.com/embed/0QqmaJAVCss
73;73 - CASTELO FORTE;https://www.youtube.com/embed/r130BsOP1Cs
74;74 - GRANDE COMANDANTE;https://www.youtube.com/embed/pDF_yaObO8M
75;75 - FE E A VITORIA;https://www.youtube.com/embed/1k3ayNZz8jQ
76;76 - VENCEDOR CADA DIA;https://www.youtube.com/embed/-0M7gBeQI78
77;77 - O CRISTÃOS, AVANTE;https://www.youtube.com/embed/3-mP_nKu8yQ
78;78 - UM VENCEDOR;https://www.youtube.com/embed/JzD8Fe1ICcw
79;79 - NOITE DE PAZ;https://www.youtube.com/embed/EbHIw7hpduI
80;80 -  SOOU EM MEIO A NOITE AZUL;https://www.youtube.com/embed/j_LfpCFhM1o
81;81 - SURGEM ANJOS PROCLAMANDO;https://www.youtube.com/embed/kkHG9hyVZFI
82;82 - NUM BERÇO DE PALHA;https://www.youtube.com/embed/RDNxaHfPnLE
83;83 - CANCÃO DA MANJEDOURA;https://www.youtube.com/embed/j3eoiJdeg9k
84;84 - O VINDE ADOREMOS;https://www.youtube.com/embed/eNDUTp27XrI
85;85 - ESTRELA DE LUZ;https://www.youtube.com/embed/C3cAaEQRlSg
86;86 - NASCE JESUS;https://www.youtube.com/embed/G4KswVUWNM8
87;87 - BELÉM BENDITA ES;https://www.youtube.com/embed/GVg5Enb5OU4
88;88 - CRISTO NASCEU;https://www.youtube.com/embed/HXHaY7MkNoI
89;89 - NATAL FELIZ NATAL;https://www.youtube.com/embed/02SEzuF8Yeg
90;90 - GLÓRIA AO REI QUE VOS NASCEU;https://www.youtube.com/embed/UiF50HoVxmQ
91;91 - O NOITE SANTA;https://www.youtube.com/embed/manYe2ql8Kg
92;92 - ONDE ESTAVAM;https://www.youtube.com/embed/neN3QmMPIf4
93;93 - NASCEU O SALVADOR;https://www.youtube.com/embed/Lp2_WQaM8KQ
94;94 - VESTIDO EM LINHO;https://www.youtube.com/embed/jgwICRa17Ts
95;95 - AMOR QUE POR AMOR DESCESTE;https://www.youtube.com/embed/Pwa7fRMbURU
96;96 - FOI AMOR;https://www.youtube.com/embed/qJXgvVGefyc
97;97 - POR QUE ME AMOU ASSIM;https://www.youtube.com/embed/KXB43Rs8SyU
98;98 - CONTA ME A HISTORIA DE CRISTO;https://www.youtube.com/embed/pcShGyOHlig
99;99 - CONTA ME A VELHA HISTORIA;https://www.youtube.com/embed/nkGGdNovUXg
100;100 - A DOCE HISTORIA;https://www.youtube.com/embed/LgbciTZ1VwM
101;101 - SEU MARAVILHOSO OLHAR;
102;102 -  O VEM EMANUEL;
103;103 - RUDE CRUZ;
104;104 - NA SENDA DO CALVARIO;
105;105 - OH FRONTE ENSANGUENTADA;
106;;
107;;
108;;
109;;
110;;
111;;
112;;
113;;
114;;
115;;
116;;
117;;
118;;
119;;
120;;
121;;
122;;
123;;
124;;
125;;
126;;
127;;
128;;
129;;
130;;
131;;
132;;
133;;
134;;
135;;
136;;
137;;
138;;
139;;
140;;
141;;
142;;
143;;
144;;
145;;
146;;
147;;
148;;
149;;
150;;
151;;
152;;
153;;
154;;
155;;
156;;
157;;
158;;
159;;
160;;
161;;
162;;
163;;
164;;
165;;
166;;
167;;
168;;
169;;
170;;
171;;
172;;
173;;
174;;
175;;
176;;
177;;
178;;
179;;
180;;
181;;
182;;
183;;
184;;
185;;
186;;
187;;
188;;
189;;
190;;
191;;
192;;
193;;
194;;
195;;
196;;
197;;
198;;
199;;
200;;
201;;
202;;
203;;
204;;
205;;
206;;
207;;
208;;
209;;
210;;
211;;
212;;
213;;
214;;
215;;
216;;
217;;
218;;
219;;
220;;
221;;
222;;
223;;
224;;
225;;
226;;
227;;
228;;
229;;
230;;
231;;
232;;
233;;
234;;
235;;
236;;
237;;
238;;
239;;
240;;
241;;
242;;
243;;
244;;
245;;
246;;
247;;
248;;
249;;
250;;
251;;
252;;
253;;
254;;
255;;
256;;
257;;
258;;
259;;
260;;
261;;
262;;
263;;
264;;
265;;
266;;
267;;
268;;
269;;
270;;
271;;
272;;
273;;
274;;
275;;
276;;
277;;
278;;
279;;
280;;
281;;
282;;
283;;
284;;
285;;
286;;
287;;
288;;
289;;
290;;
291;;
292;;
293;;
294;;
295;;
296;;
297;;
298;;
299;;
300;;
301;;
302;;
303;;
304;;
305;;
306;;
307;;
308;;
309;;
310;;
311;;
312;;
313;;
314;;
315;;
316;;
317;;
318;;
319;;
320;;
321;;
322;;
323;;
324;;
325;;
326;;
327;;
328;;
329;;
330;;
331;;
332;;
333;;
334;;
335;;
336;;
337;;
338;;
339;;
340;;
341;;
342;;
343;;
344;;
345;;
346;;
347;;
348;;
349;;
350;;
351;;
352;;
353;;
354;;
355;;
356;;
357;;
358;;
359;;
360;;
361;;
362;;
363;;
364;;
365;;
366;;
367;;
368;;
369;;
370;;
371;;
372;;
373;;
374;;
375;;
376;;
377;;
378;;
379;;
380;;
381;;
382;;
383;;
384;;
385;;
386;;
387;;
388;;
389;;
390;;
391;;
392;;
393;;
394;;
395;;
396;;
397;;
398;;
399;;
400;;
401;;
402;;
403;;
404;;
405;;
406;;
407;;
408;;
409;;
410;;
411;;
412;;
413;;
414;;
415;;
416;;
417;;
418;;
419;;
420;;
421;;
422;;
423;;
424;;
425;;
426;;
427;;
428;;
429;;
430;;
431;;
432;;
433;;
434;;
435;;
436;;
437;;
438;;
439;;
440;;
441;;
442;;
443;;
444;;
445;;
446;;
447;;
448;;
449;;
450;;
451;;
452;;
453;;
454;;
455;;
456;;
457;;
458;;
459;;
460;;
461;;
462;;
463;;
464;;
465;;
466;;
467;;
468;;
469;;
470;;
471;;
472;;
473;;
474;;
475;;
476;;
477;;
478;;
479;;
480;;
481;;
482;;
483;;
484;;
485;;
486;;
487;;
488;;
489;;
490;;
491;;
492;;
493;;
494;;
495;;
496;;
497;;
498;;
499;;
500;;
501;;
502;;
503;;
504;;
505;;
506;;
507;;
508;;
509;;
510;;
511;;
512;;
513;;
514;;
515;;
516;;
517;;
518;;
519;;
520;;
521;;
522;;
523;;
524;;
525;;
526;;
527;;
528;;
529;;
530;;
531;;
532;;
533;;
534;;
535;;
536;;
537;;
538;;
539;;
540;;
541;;
542;;
543;;
544;;
545;;
546;;
547;;
548;;
549;;
550;;
551;;
552;;
553;;
554;;
555;;
556;;
557;;
558;;
559;;
560;;
561;;
562;;
563;;
564;;
565;;
566;;
567;;
568;;
569;;
570;;
571;;
572;;
573;;
574;;
575;;
576;;
577;;
578;;
579;;
580;;
581;;
582;;
583;;
584;;
585;;
586;;
587;;
588;;
589;;
590;;
591;;
592;;
593;;
594;;
595;;
596;;
597;;
598;;
599;;
600;;
